ITEMID
51301
861
1127
1542
220546
51516
4200
51300
40069
40094
40055
50931
807
811
1529
50809
51478
3745
225664
220621
226537
211
220045
198
3655
677
676
223762
3654
678
223761
679
8368
220051
225310
8555
8441
220180
8502
8440
8503
8504
8507
8506
224643
